business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category
76218,Tenderloin Market & Deli,200 Leavenworth,San Francisco,CA,94102,,,,,76218_20170313,13-03-2017,,Reinspection/Followup,,,
89686,Big Fish Little Fish Poke,121 Spear St B09,San Francisco,CA,94105,,,,,89686_20180227,27-02-2018,82,Routine - Unscheduled,89686_20180227_103120,Moderate risk food holding temperature,Moderate Risk
75448,Laguna Café,1821 Haight St,San Francisco,CA,94117,,,,,75448_20180711,11-07-2018,90,Routine - Unscheduled,75448_20180711_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
87447,The Castro Republic,2295 Market St,San Francisco,CA,94114,,,,14155930525,87447_20170830,30-08-2017,74,Routine - Unscheduled,87447_20170830_103135,No person in charge of food facility,Low Risk
7747,SAFEWAY STORE #964,4950 Mission St,San Francisco,CA,94112,37.72,-122.44,"{'longitude': '-122.438775', 'needs_recoding': False, 'latitude': '37.71954', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",14155587200,7747_20160624,24-06-2016,,Complaint,,,
79414,Home Plate,2274 Lombard St,San Francisco,CA,94123,,,,,79414_20161017,17-10-2016,67,Routine - Unscheduled,79414_20161017_103103,High risk food holding temperature,High Risk
509,Cafe Bakery,1365 Noriega St,San Francisco,CA,94122,37.75,-122.48,"{'longitude': '-122.478248', 'needs_recoding': False, 'latitude': '37.75409', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,509_20160328,28-03-2016,,Reinspection/Followup,,,
5862,MARTIN L. KING MIDDLE SCHOOL,350 GIRARD St,San Francisco,CA,94134,37.73,-122.4,"{'longitude': '-122.404921', 'needs_recoding': False, 'latitude': '37.728088', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,5862_20150923,23-09-2015,100,Routine - Unscheduled,,,
1204,ROYAL GROUND COFFEE,5301 GEARY Blvd,San Francisco,CA,94121,37.78,-122.48,"{'longitude': '-122.47641', 'needs_recoding': False, 'latitude': '37.780394', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,1204_20171222,22-12-2017,,New Construction,,,
71131,Rico Pan,5488 MISSION St,San Francisco,CA,94112,37.71,-122.44,"{'longitude': '-122.44456', 'needs_recoding': False, 'latitude': '37.71291', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,71131_20161005,05-10-2016,81,Routine - Unscheduled,71131_20161005_103154,Unclean or degraded floors walls or ceilings,Low Risk
87620,Dolores Park Outpost,698 Guerrero St,San Francisco,CA,94110,,,,14155378648,87620_20171006,06-10-2017,,Complaint,,,
61861,SO,1010 BRYANT St,San Francisco,CA,94103,37.77,-122.41,"{'longitude': '-122.407339', 'needs_recoding': False, 'latitude': '37.772264', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,61861_20171214,14-12-2017,85,Routine - Unscheduled,61861_20171214_103105,Improper cooling methods,High Risk
4421,Crepe Cafe,Pier 39 Space D-3,San Francisco,CA,94133,37.81,-122.41,"{'longitude': '-122.410189', 'needs_recoding': False, 'latitude': '37.80824', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,4421_20180326,26-03-2018,86,Routine - Unscheduled,4421_20180326_103144,Unapproved or unmaintained equipment or utensils,Low Risk
80591,L & G Vietnamese Sandwich,602 Eddy St,San Francisco,CA,94109,,,,14155886402,80591_20171024,24-10-2017,71,Routine - Unscheduled,80591_20171024_103154,Unclean or degraded floors walls or ceilings,Low Risk
86990,Allstars Cafe Inc,1500 Market St,San Francisco,CA,94102,,,,14155259888,86990_20170829,29-08-2017,83,Routine - Unscheduled,86990_20170829_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
74866,Tacolicious,1548 Stockton St,San Francisco,CA,94133,,,,,74866_20170508,08-05-2017,,Complaint,74866_20170508_103144,Unapproved or unmaintained equipment or utensils,Low Risk
86780,Peet's Coffee & Tea,121 Spear St,San Francisco,CA,94105,,,,14150868663,86780_20170327,27-03-2017,96,Routine - Unscheduled,86780_20170327_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
79196,Veraci Pizza,32 06th St,San Francisco,CA,94103,,,,,79196_20170223,23-02-2017,79,Routine - Unscheduled,79196_20170223_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
81680,Sharetea,135 04th St,San Francisco,CA,94103,,,,14155220888,81680_20160331,31-03-2016,92,Routine - Unscheduled,81680_20160331_103120,Moderate risk food holding temperature,Moderate Risk
63210,Let's Be Frank,Justin Herman Plaza,San Francisco,CA,,37.78,-122.42,"{'longitude': '-122.419639', 'needs_recoding': False, 'latitude': '37.777122', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,63210_20160513,13-05-2016,96,Routine - Unscheduled,63210_20160513_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
1031,IL BORGO,500 FELL St,San Francisco,CA,,37.78,-122.43,"{'longitude': '-122.426264', 'needs_recoding': False, 'latitude': '37.775538', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,1031_20180328,28-03-2018,85,Routine - Unscheduled,1031_20180328_103131,Moderate risk vermin infestation,Moderate Risk
85824,Boss Supermarket,2551 Noriega St,San Francisco,CA,94122,,,,14155515390,85824_20171003,03-10-2017,82,Routine - Unscheduled,85824_20171003_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
78965,Dragoneats,555 Folsom St,San Francisco,CA,94105,,,,,78965_20170712,12-07-2017,,Non-inspection site visit,,,
2418,MANIVANH THAI RESTAURANT,2732 24th St,San Francisco,CA,94110,37.75,-122.41,"{'longitude': '-122.407062', 'needs_recoding': False, 'latitude': '37.752968', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,2418_20170328,28-03-2017,85,Routine - Unscheduled,2418_20170328_103154,Unclean or degraded floors walls or ceilings,Low Risk
33916,Extreme Pizza,1062 Folsom St,San Francisco,CA,94103,37.78,-122.41,"{'longitude': '-122.407108', 'needs_recoding': False, 'latitude': '37.777374', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,33916_20160823,23-08-2016,80,Routine - Unscheduled,33916_20160823_103153,Inadequate dressing rooms or improper storage of personal items,Low Risk
89338,Nabe,2151 Lombard St,San Francisco,CA,94123,,,,,89338_20161019,19-10-2016,,New Construction,,,
2808,NEW EMMY'S RESTAURANT,1923 OCEAN Ave,San Francisco,CA,94127,37.73,-122.46,"{'longitude': '-122.462776', 'needs_recoding': False, 'latitude': '37.725404', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",14155728615,2808_20160520,20-05-2016,,Reinspection/Followup,2808_20160520_103154,Unclean or degraded floors walls or ceilings,Low Risk
64682,Straw,203 Octavia St,San Francisco,CA,94102,37.77,-122.42,"{'longitude': '-122.42419', 'needs_recoding': False, 'latitude': '37.773928', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,64682_20160129,29-01-2016,86,Routine - Unscheduled,64682_20160129_103142,Unclean nonfood contact surfaces,Low Risk
6718,General Nutrition #302,576 Market St,San Francisco,CA,94104,37.79,-122.4,"{'longitude': '-122.401309', 'needs_recoding': False, 'latitude': '37.789353', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,6718_20170620,20-06-2017,85,Routine - Unscheduled,6718_20170620_103154,Unclean or degraded floors walls or ceilings,Low Risk
81116,Dragon Beaux,5700 Geary Blvd,San Francisco,CA,94121,,,,,81116_20150918,18-09-2015,,Reinspection/Followup,,,
2280,SAKANA BUNE RESTAURANT,5701 GEARY Blvd,San Francisco,CA,94121,37.78,-122.48,"{'longitude': '-122.480599', 'needs_recoding': False, 'latitude': '37.780204', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,2280_20180222,22-02-2018,83,Routine - Unscheduled,2280_20180222_103109,Unclean or unsanitary food contact surfaces,High Risk
36473,Maggie Cafe,848 Grant Ave,San Francisco,CA,94108,37.79,-122.41,"{'longitude': '-122.406356', 'needs_recoding': False, 'latitude': '37.794898', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,36473_20151202,02-12-2015,88,Routine - Unscheduled,36473_20151202_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
88326,Live Oak School,1555 Mariposa St,San Francisco,CA,94107,,,,14155564723,88326_20160826,26-08-2016,,New Construction,,,
87021,Southern Comfort Kitchen,Off The Grid,San Francisco,CA,,,,,,87021_20180305,05-03-2018,,Structural Inspection,,,
6348,Castro Street Chevron,2399 Market St,San Francisco,CA,94114,37.76,-122.43,"{'longitude': '-122.434755', 'needs_recoding': False, 'latitude': '37.762857', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",14155622570,6348_20151224,24-12-2015,100,Routine - Unscheduled,,,
78328,Golden Wok,295 B Orizaba Ave,San Francisco,CA,94132,,,,14155588000,78328_20170720,20-07-2017,,Complaint,78328_20170720_103102,Unclean hands or improper use of gloves,High Risk
61959,Expressions Snack Bar,Pier 41,San Francisco,CA,94133,37.81,-122.41,"{'longitude': '-122.412', 'needs_recoding': False, 'latitude': '37.808494', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",14155670266,61959_20171030,30-10-2017,96,Routine - Unscheduled,61959_20171030_103138,Improper storage use or identification of toxic substances,Low Risk
5104,In-N-Out Burger,333 Jefferson St,San Francisco,CA,94133,37.81,-122.42,"{'longitude': '-122.417887', 'needs_recoding': False, 'latitude': '37.807923', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,5104_20160630,30-06-2016,98,Routine - Unscheduled,5104_20160630_103156,Permit license or inspection report not posted,Low Risk
79206,Pho Express,380 Bush St #4,San Francisco,CA,94104,,,,,79206_20180629,29-06-2018,,Reinspection/Followup,,,
57698,China Fun Express,211 Kearny St,San Francisco,CA,94108,37.79,-122.4,"{'longitude': '-122.403915', 'needs_recoding': False, 'latitude': '37.790055', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,57698_20160303,03-03-2016,78,Routine - Unscheduled,57698_20160303_103120,Moderate risk food holding temperature,Moderate Risk
86261,Taqueria Dos Charros,55 Cambon Dr,San Francisco,CA,94132,,,,14155336075,86261_20160229,29-02-2016,,New Ownership,86261_20160229_103107,Improper reheating of food,High Risk
81886,Cafe Broadway,674 Broadway St,San Francisco,CA,94133,,,,,81886_20180418,18-04-2018,76,Routine - Unscheduled,81886_20180418_103144,Unapproved or unmaintained equipment or utensils,Low Risk
1398,YUMMA'S MED GRILL,721 IRVING St,San Francisco,CA,94122,37.76,-122.47,"{'longitude': '-122.465539', 'needs_recoding': False, 'latitude': '37.764053', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,1398_20160609,09-06-2016,96,Routine - Unscheduled,1398_20160609_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
93607,Boos Voni,5170 Mission St,San Francisco,CA,94112,,,,,93607_20171116,16-11-2017,,New Ownership,,,
27821,Duboce Park Cafe,2 Sanchez St,San Francisco,CA,94114,37.77,-122.43,"{'longitude': '-122.431407', 'needs_recoding': False, 'latitude': '37.769305', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,27821_20180720,20-07-2018,,Reinspection/Followup,,,
80121,West Coast Wine & Cheese,2165 Union St,San Francisco,CA,94123,,,,,80121_20161108,08-11-2016,92,Routine - Unscheduled,80121_20161108_103133,Foods not protected from contamination,Moderate Risk
1615,Starbucks Coffee,27 Drumm St,San Francisco,CA,94111,37.79,-122.4,"{'longitude': '-122.396524', 'needs_recoding': False, 'latitude': '37.794184', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,1615_20160504,04-05-2016,98,Routine - Unscheduled,1615_20160504_103154,Unclean or degraded floors walls or ceilings,Low Risk
4804,SUBWAY #31419,2599 SAN BRUNO Ave,San Francisco,CA,94134,37.73,-122.4,"{'longitude': '-122.40413', 'needs_recoding': False, 'latitude': '37.728933', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",14150540880,4804_20160627,27-06-2016,,Complaint,4804_20160627_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
7747,SAFEWAY STORE #964,4950 Mission St,San Francisco,CA,94112,37.72,-122.44,"{'longitude': '-122.438775', 'needs_recoding': False, 'latitude': '37.71954', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",14155587200,7747_20160609,09-06-2016,81,Routine - Unscheduled,7747_20160609_103144,Unapproved or unmaintained equipment or utensils,Low Risk
68872,Jiang Ling Cuisine Restaurant,2517 SAN BRUNO Ave,San Francisco,CA,94134,37.73,-122.4,"{'longitude': '-122.404526', 'needs_recoding': False, 'latitude': '37.729985', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,68872_20160916,16-09-2016,74,Routine - Unscheduled,68872_20160916_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
83423,Carbon Grill,852 Clement St,San Francisco,CA,94118,,,,,83423_20170328,28-03-2017,75,Routine - Unscheduled,83423_20170328_103132,Improper thawing methods,Moderate Risk
89640,The Bindery,1727 Haight St,San Francisco,CA,94117,,,,,89640_20171023,23-10-2017,,New Ownership,,,
33914,Subway 30303,3911 Alemany Bl.,San Francisco,CA,94132,37.71,-122.47,"{'longitude': '-122.46779', 'needs_recoding': False, 'latitude': '37.711185', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,33914_20160216,16-02-2016,92,Routine - Unscheduled,33914_20160216_103144,Unapproved or unmaintained equipment or utensils,Low Risk
1296,TAQUERIA EL BUEN SABOR,699 VALENCIA St,San Francisco,CA,94112,37.76,-122.42,"{'longitude': '-122.421492', 'needs_recoding': False, 'latitude': '37.761743', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",14155588745,1296_20170926,26-09-2017,83,Routine - Unscheduled,1296_20170926_103154,Unclean or degraded floors walls or ceilings,Low Risk
86658,Clay Oven Indian Cuisine,1689 Church St,San Francisco,CA,94131,,,,14155822400,86658_20180702,02-07-2018,80,Routine - Unscheduled,86658_20180702_103144,Unapproved or unmaintained equipment or utensils,Low Risk
83436,San Francisco Marriott Union Square - Main Kitchen,480 Sutter St 1st Floor,San Francisco,CA,94108,,,,,83436_20160628,28-06-2016,92,Routine - Unscheduled,83436_20160628_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
3676,Chinatown Restaurant,744 Washington St,San Francisco,CA,94108,37.8,-122.41,"{'longitude': '-122.405943', 'needs_recoding': False, 'latitude': '37.795248', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,3676_20160107,07-01-2016,76,Routine - Unscheduled,3676_20160107_103131,Moderate risk vermin infestation,Moderate Risk
2216,Hong Kong Clay Pot City Restaurant,960 Grant Ave,San Francisco,CA,94108,37.8,-122.41,"{'longitude': '-122.406557', 'needs_recoding': False, 'latitude': '37.795868', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,2216_20170103,03-01-2017,77,Routine - Unscheduled,2216_20170103_103154,Unclean or degraded floors walls or ceilings,Low Risk
3529,Great Eastern Restaurant,649 Jackson St,San Francisco,CA,94133,37.8,-122.41,"{'longitude': '-122.405918', 'needs_recoding': False, 'latitude': '37.796093', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,3529_20171213,13-12-2017,83,Routine - Unscheduled,3529_20171213_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
2750,HAMANO SUSHI,1332 CASTRO St,San Francisco,CA,94114,37.75,-122.43,"{'longitude': '-122.434065', 'needs_recoding': False, 'latitude': '37.750778', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",14155820825,2750_20170823,23-08-2017,84,Routine - Unscheduled,2750_20170823_103133,Foods not protected from contamination,Moderate Risk
7759,PASITA'S BAKERY,10 PERSIA Ave,San Francisco,CA,94112,37.72,-122.44,"{'longitude': '-122.435983', 'needs_recoding': False, 'latitude': '37.723086', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,7759_20160804,04-08-2016,,Reinspection/Followup,,,
34676,Golden Kim Tar Restaurant,434 Larkin St,San Francisco,CA,94102,37.78,-122.42,"{'longitude': '-122.417147', 'needs_recoding': False, 'latitude': '37.781786', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,34676_20171005,05-10-2017,68,Routine - Unscheduled,34676_20171005_103139,Improper food storage,Low Risk
68263,MV Taurus,Pier 41,San Francisco,CA,94133,37.81,-122.41,"{'longitude': '-122.412', 'needs_recoding': False, 'latitude': '37.808494', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",14145728615,68263_20160518,18-05-2016,100,Routine - Unscheduled,,,
18126,Tacos San Buena,768 Sansome St,San Francisco,CA,94111,37.8,-122.4,"{'longitude': '-122.401957', 'needs_recoding': False, 'latitude': '37.797327', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,18126_20170127,27-01-2017,,Structural Inspection,,,
83351,City Super,1108 Stockton St,San Francisco,CA,94133,,,,,83351_20171127,27-11-2017,78,Routine - Unscheduled,83351_20171127_103150,Improper or defective plumbing,Low Risk
77731,Souvla,517 Hayes St,San Francisco,CA,94102,,,,,77731_20170403,03-04-2017,89,Routine - Unscheduled,77731_20170403_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
69792,Samiramis Imports,2990 MISSION St,San Francisco,CA,94110,37.75,-122.42,"{'longitude': '-122.418224', 'needs_recoding': False, 'latitude': '37.74923', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",14155826555,69792_20161110,10-11-2016,,Reinspection/Followup,,,
1641,MARTHA & BROS. COFFEE CO,1551 Church St,San Francisco,CA,94131,37.75,-122.43,"{'longitude': '-122.426856', 'needs_recoding': False, 'latitude': '37.745974', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",14155641166,1641_20170707,07-07-2017,,Reinspection/Followup,1641_20170707_103120,Moderate risk food holding temperature,Moderate Risk
1598,Cafe Bean,800 Sutter St,San Francisco,CA,94109,37.79,-122.41,"{'longitude': '-122.413795', 'needs_recoding': False, 'latitude': '37.788587', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,1598_20170417,17-04-2017,80,Routine - Unscheduled,1598_20170417_103144,Unapproved or unmaintained equipment or utensils,Low Risk
90839,The Grove - Design District,65 Division St.,San Francisco,CA,94103,,,,,90839_20180427,27-04-2018,96,Routine - Unscheduled,90839_20180427_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
4917,LA VICTORIA BAKERY,2937 24th St,San Francisco,CA,94110,37.75,-122.41,"{'longitude': '-122.410876', 'needs_recoding': False, 'latitude': '37.752373', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",14155647120,4917_20160906,06-09-2016,78,Routine - Unscheduled,4917_20160906_103156,Permit license or inspection report not posted,Low Risk
5880,Francisco Middle School,2190 Powell St,San Francisco,CA,94133,37.8,-122.41,"{'longitude': '-122.411617', 'needs_recoding': False, 'latitude': '37.804368', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,5880_20180214,14-02-2018,94,Routine - Unscheduled,5880_20180214_103144,Unapproved or unmaintained equipment or utensils,Low Risk
36687,Jay's Cheesesteak,3285 21st St,San Francisco,CA,94110,37.76,-122.42,"{'longitude': '-122.420849', 'needs_recoding': False, 'latitude': '37.756893', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,36687_20170721,21-07-2017,,Reinspection/Followup,,,
67565,King of Thai Noodles Cafe,1541 TARAVAL St,San Francisco,CA,94116,37.74,-122.48,"{'longitude': '-122.482819', 'needs_recoding': False, 'latitude': '37.742703', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,67565_20161212,12-12-2016,81,Routine - Unscheduled,67565_20161212_103132,Improper thawing methods,Moderate Risk
82466,Tanuki Restaurant,4419 California St,San Francisco,CA,94118,,,,,82466_20180828,28-08-2018,94,Routine - Unscheduled,82466_20180828_103142,Unclean nonfood contact surfaces,Low Risk
19379,Andersen Bakery,50 Post St #1,San Francisco,CA,94104,37.79,-122.4,"{'longitude': '-122.402861', 'needs_recoding': False, 'latitude': '37.789064', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,19379_20171114,14-11-2017,90,Routine - Unscheduled,19379_20171114_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
950,IRVING PIZZA,1825 IRVING St,San Francisco,CA,94122,37.76,-122.48,"{'longitude': '-122.47764', 'needs_recoding': False, 'latitude': '37.763513', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,950_20160531,31-05-2016,92,Routine - Unscheduled,950_20160531_103121,Inadequate procedures or records for time as a public health control,Moderate Risk
86276,Contrada,2136 Union St,San Francisco,CA,94123,,,,,86276_20161110,10-11-2016,,New Construction,,,
83655,Bellissimo Pizza,920 Sutter St,San Francisco,CA,94109,,,,,83655_20160714,14-07-2016,88,Routine - Unscheduled,83655_20160714_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
3621,JIM'S RESTAURANT,2420 MISSION St,San Francisco,CA,94110,37.76,-122.42,"{'longitude': '-122.419081', 'needs_recoding': False, 'latitude': '37.758271', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",14155286020,3621_20180504,04-05-2018,,Reinspection/Followup,,,
3642,ABSINTHE PASTRY,201 IVY St,San Francisco,CA,94102,37.78,-122.42,"{'longitude': '-122.421458', 'needs_recoding': False, 'latitude': '37.777492', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,3642_20170510,10-05-2017,92,Routine - Unscheduled,3642_20170510_103142,Unclean nonfood contact surfaces,Low Risk
78220,Howard & 6th Street Food Market Inc.,1000 Howard St,San Francisco,CA,94103,,,,,78220_20161005,05-10-2016,92,Routine - Unscheduled,78220_20161005_103144,Unapproved or unmaintained equipment or utensils,Low Risk
935,PEKING WOK RESTAURANT,4920 03rd St,San Francisco,CA,94124,37.73,-122.39,"{'longitude': '-122.391183', 'needs_recoding': False, 'latitude': '37.733891', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,935_20150928,28-09-2015,85,Routine - Unscheduled,935_20150928_103133,Foods not protected from contamination,Moderate Risk
33940,The Good Life Grocery,1524 20th St,San Francisco,CA,94107,37.76,-122.4,"{'longitude': '-122.396813', 'needs_recoding': False, 'latitude': '37.760018', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,33940_20180130,30-01-2018,90,Routine - Unscheduled,33940_20180130_103139,Improper food storage,Low Risk
37482,Bursa,60 West Portal Ave.,San Francisco,CA,94127,37.74,-122.47,"{'longitude': '-122.466569', 'needs_recoding': False, 'latitude': '37.740144', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,37482_20180222,22-02-2018,92,Routine - Unscheduled,37482_20180222_103120,Moderate risk food holding temperature,Moderate Risk
83351,City Super,1108 Stockton St,San Francisco,CA,94133,,,,,83351_20160316,16-03-2016,77,Routine - Unscheduled,83351_20160316_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
78332,Hot Pot Island,5512 Geary Blvd,San Francisco,CA,94121,,,,,78332_20170818,18-08-2017,76,Routine - Unscheduled,78332_20170818_103103,High risk food holding temperature,High Risk
